district_code,category,amount,school_year
4901,Districtwide Support,1333953.09,2024-25
4901,Food Services,211232.75,2024-25
4901,Other Instructional,67000.34,2024-25
4901,Special Education,469645.25,2024-25
4901,Transportation,171702.23,2024-25
5121,Basic Education,29038731.69,2024-25
5121,COVID Relief,18009.95,2024-25
5121,Community Services,67437.15,2024-25
5121,Compensatory Education,4612673.95,2024-25
5121,Districtwide Support,8091360.89,2024-25
5121,Food Services,1807112.44,2024-25
5121,Other Instructional,989034.44,2024-25
5121,Special Education,9954289.93,2024-25
5121,Transportation,2126153.21,2024-25
5121,Vocational/CTE,3114133.24,2024-25
5313,Basic Education,4310313.07,2024-25
5313,Compensatory Education,574687.3,2024-25
5313,Districtwide Support,1421049.3,2024-25
5313,Food Services,228721.89,2024-25
5313,Other Instructional,30274.11,2024-25
5313,Special Education,792653.26,2024-25
5313,Transportation,134991.85,2024-25
5313,Vocational/CTE,93315.01,2024-25
5323,Basic Education,22813105.66,2024-25
5323,Community Services,166.2,2024-25
5323,Compensatory Education,2634670.66,2024-25
5323,Districtwide Support,7346610.36,2024-25
5323,Food Services,1146609.55,2024-25
5323,Other Instructional,220638.4,2024-25
5323,Special Education,7473972.2,2024-25
5323,Transportation,2019322.27,2024-25
5323,Vocational/CTE,3169601.56,2024-25
5401,Basic Education,7305888.27,2024-25
5401,Compensatory Education,984634.99,2024-25
5401,Districtwide Support,2749070.35,2024-25
5401,Food Services,741163.31,2024-25
5401,Other Instructional,169362.39,2024-25
5401,Special Education,1993668.82,2024-25
5401,Transportation,439260.35,2024-25
5401,Vocational/CTE,164230.22,2024-25
5402,Basic Education,38180790.32,2024-25
5402,Community Services,586668.16,2024-25
5402,Compensatory Education,4309117.34,2024-25
5402,Districtwide Support,5140629.48,2024-25
5402,Food Services,1111266.16,2024-25
5402,Other Instructional,1034113.2,2024-25
5402,Special Education,8623576.42,2024-25
5402,Transportation,866156.51,2024-25
5402,Vocational/CTE,580616.85,2024-25
5903,Basic Education,1793099.94,2024-25
5903,Compensatory Education,73371.54,2024-25
5903,Food Services,150377.53,2024-25
5903,Special Education,238511.07,2024-25
5903,Transportation,527477.15,2024-25
5903,Vocational/CTE,90971.21,2024-25
6037,Basic Education,204643264.6,2024-25
6037,Community Services,1256422.85,2024-25
6037,Compensatory Education,23812501.51,2024-25
6037,Districtwide Support,56540080.4,2024-25
6037,Food Services,11879724.38,2024-25
6037,Other Instructional,8903879.59,2024-25
6037,Special Education,85556191.52,2024-25
6037,Transportation,15221799.8,2024-25
6037,Vocational/CTE,20289656.17,2024-25
6098,Basic Education,19443170.21,2024-25
6098,COVID Relief,1910.07,2024-25
6098,Community Services,325101.59,2024-25
6098,Compensatory Education,734042.99,2024-25
6098,Districtwide Support,5532257.1,2024-25
6098,Food Services,830817.91,2024-25
6098,Other Instructional,253035.96,2024-25
6098,Special Education,5158151.93,2024-25
6098,Transportation,1782781.84,2024-25
6098,Vocational/CTE,976958.03,2024-25
6101,Basic Education,15546532.97,2024-25
6101,Community Services,136374.57,2024-25
6101,Compensatory Education,848322.88,2024-25
6101,Districtwide Support,4876435.59,2024-25
6101,Food Services,678619.39,2024-25
6101,Other Instructional,185619.66,2024-25
6101,Special Education,5001205.96,2024-25
6101,Transportation,2144615.0,2024-25
6101,Vocational/CTE,1413232.45,2024-25
6103,Basic Education,1789967.61,2024-25
6103,Community Services,2004.1,2024-25
6103,Compensatory Education,97737.96,2024-25
6103,Districtwide Support,708755.14,2024-25
6103,Food Services,158803.82,2024-25
6103,Other Instructional,4359.06,2024-25
6103,Special Education,217683.04,2024-25
6103,Transportation,171188.37,2024-25
6112,Basic Education,24340275.51,2024-25
6112,COVID Relief,480.32,2024-25
6112,Community Services,260376.81,2024-25
6112,Compensatory Education,1638460.14,2024-25
6112,Districtwide Support,7563613.29,2024-25
6112,Food Services,1501677.33,2024-25
6112,Other Instructional,490522.09,2024-25
6112,Special Education,8520912.85,2024-25
6112,Transportation,2421337.79,2024-25
6112,Vocational/CTE,2486961.94,2024-25
6114,Basic Education,208417317.72,2024-25
6114,Community Services,109584.35,2024-25
6114,Compensatory Education,24958732.83,2024-25
6114,Districtwide Support,49480346.24,2024-25
6114,Food Services,13826681.8,2024-25
6114,Other Instructional,13630695.14,2024-25
6114,Special Education,76994601.4,2024-25
6114,Transportation,18812413.34,2024-25
6114,Vocational/CTE,33983275.01,2024-25
6117,Basic Education,72814723.38,2024-25
6117,Community Services,2971851.09,2024-25
6117,Compensatory Education,1950242.97,2024-25
6117,Districtwide Support,15015782.73,2024-25
6117,Food Services,3802819.83,2024-25
6117,Other Instructional,1035799.56,2024-25
6117,Special Education,20185720.83,2024-25
6117,Transportation,5341603.8,2024-25
6117,Vocational/CTE,4469200.06,2024-25
6119,Basic Education,123338005.76,2024-25
6119,Community Services,395679.68,2024-25
6119,Compensatory Education,6625354.71,2024-25
6119,Districtwide Support,29968279.28,2024-25
6119,Food Services,4300650.67,2024-25
6119,Other Instructional,4770180.41,2024-25
6119,Special Education,35430724.15,2024-25
6119,Transportation,14509257.5,2024-25
6119,Vocational/CTE,11430910.61,2024-25
6122,Basic Education,37112310.96,2024-25
6122,Community Services,1293732.31,2024-25
6122,Compensatory Education,1406562.84,2024-25
6122,Districtwide Support,9759064.25,2024-25
6122,Food Services,1438057.32,2024-25
6122,Other Instructional,678921.83,2024-25
6122,Special Education,10186957.76,2024-25
6122,Transportation,3336876.38,2024-25
6122,Vocational/CTE,3023696.77,2024-25
6901,Basic Education,703315.92,2024-25
6901,Compensatory Education,55807.8,2024-25
6901,Districtwide Support,765122.34,2024-25
6901,Food Services,13380.59,2024-25
6901,Other Instructional,278873.59,2024-25
6901,Special Education,287413.69,2024-25
6901,Transportation,2094.66,2024-25
7002,Basic Education,4015161.37,2024-25
7002,Compensatory Education,515876.06,2024-25
7002,Districtwide Support,1539280.29,2024-25
7002,Food Services,318136.37,2024-25
7002,Other Instructional,277358.33,2024-25
7002,Special Education,621968.35,2024-25
7002,Transportation,401211.91,2024-25
7002,Vocational/CTE,376099.19,2024-25
7035,Basic Education,6940208.66,2024-25
7035,Compensatory Education,455939.46,2024-25
7035,Districtwide Support,328796.47,2024-25
7035,Food Services,77526.74,2024-25
7035,Special Education,1600292.25,2024-25
7035,Transportation,75168.86,2024-25
8122,Basic Education,58431910.61,2024-25
8122,Community Services,5968.96,2024-25
8122,Compensatory Education,8576975.99,2024-25
8122,Districtwide Support,16917336.11,2024-25
8122,Food Services,3973216.1,2024-25
8122,Other Instructional,1020744.11,2024-25
8122,Special Education,20388563.01,2024-25
8122,Transportation,3745595.31,2024-25
8122,Vocational/CTE,3844644.04,2024-25
8130,Basic Education,6954482.6,2024-25
8130,Community Services,84661.53,2024-25
8130,Compensatory Education,427636.38,2024-25
8130,Districtwide Support,1854563.16,2024-25
8130,Food Services,553864.47,2024-25
8130,Other Instructional,19824.0,2024-25
8130,Special Education,1250867.8,2024-25
8130,Transportation,592428.05,2024-25
8130,Vocational/CTE,489437.6,2024-25
8401,Basic Education,12175432.34,2024-25
8401,Community Services,2556.45,2024-25
8401,Compensatory Education,1345901.5,2024-25
8401,Districtwide Support,3620324.78,2024-25
8401,Food Services,1055626.21,2024-25
8401,Other Instructional,92501.21,2024-25
8401,Special Education,3763392.72,2024-25
8401,Transportation,1029724.27,2024-25
8401,Vocational/CTE,1011311.38,2024-25
8402,Basic Education,11008926.66,2024-25
8402,Community Services,108922.32,2024-25
8402,Compensatory Education,542241.3,2024-25
8402,Districtwide Support,3332099.76,2024-25
8402,Food Services,679605.25,2024-25
8402,Other Instructional,93024.69,2024-25
8402,Special Education,2427452.47,2024-25
8402,Transportation,1034568.0,2024-25
8402,Vocational/CTE,661734.64,2024-25
8404,Basic Education,20876261.92,2024-25
8404,Community Services,720537.14,2024-25
8404,Compensatory Education,1614624.55,2024-25
8404,Districtwide Support,5760065.45,2024-25
8404,Food Services,1381457.62,2024-25
8404,Other Instructional,627386.33,2024-25
8404,Special Education,7089483.39,2024-25
8404,Transportation,9046851.95,2024-25
8404,Vocational/CTE,707676.59,2024-25
8458,Basic Education,44310579.73,2024-25
8458,COVID Relief,221.82,2024-25
8458,Community Services,258110.66,2024-25
8458,Compensatory Education,6033142.64,2024-25
8458,Districtwide Support,12861011.06,2024-25
8458,Food Services,4112841.75,2024-25
8458,Other Instructional,1617379.04,2024-25
8458,Special Education,13693282.29,2024-25
8458,Transportation,2844716.78,2024-25
8458,Vocational/CTE,4727242.68,2024-25
9013,Basic Education,1528825.98,2024-25
9013,Community Services,184135.39,2024-25
9013,Compensatory Education,752037.05,2024-25
9013,Districtwide Support,791645.44,2024-25
9013,Food Services,172029.17,2024-25
9013,Other Instructional,85053.08,2024-25
9013,Special Education,214911.89,2024-25
9013,Transportation,307284.17,2024-25
9013,Vocational/CTE,29561.64,2024-25
9075,Basic Education,6041516.19,2024-25
9075,Community Services,296.0,2024-25
9075,Compensatory Education,1780100.46,2024-25
9075,Districtwide Support,2739879.35,2024-25
9075,Food Services,717281.54,2024-25
9075,Other Instructional,696111.96,2024-25
9075,Special Education,1321582.33,2024-25
9075,Transportation,216232.99,2024-25
9075,Vocational/CTE,375689.42,2024-25
9102,Basic Education,337890.37,2024-25
9102,Compensatory Education,132868.97,2024-25
9102,Districtwide Support,358379.5,2024-25
9102,Food Services,41701.52,2024-25
9102,Other Instructional,15016.92,2024-25
9102,Special Education,42182.26,2024-25
9102,Transportation,76872.0,2024-25
9206,Basic Education,55526338.83,2024-25
9206,Community Services,560096.6,2024-25
9206,Compensatory Education,7779193.92,2024-25
9206,Districtwide Support,12735880.8,2024-25
9206,Food Services,3645372.49,2024-25
9206,Other Instructional,2307376.57,2024-25
9206,Special Education,12820495.24,2024-25
9206,Transportation,2531680.93,2024-25
9206,Vocational/CTE,4993816.99,2024-25
9207,Basic Education,1714006.28,2024-25
9207,Compensatory Education,232378.09,2024-25
9207,Districtwide Support,820820.27,2024-25
9207,Food Services,141552.47,2024-25
9207,Other Instructional,12335.47,2024-25
9207,Special Education,163909.78,2024-25
9207,Transportation,134133.12,2024-25
9207,Vocational/CTE,219363.29,2024-25
9209,Basic Education,2663770.77,2024-25
9209,Compensatory Education,354646.46,2024-25
9209,Districtwide Support,1272603.3,2024-25
9209,Food Services,333332.88,2024-25
9209,Other Instructional,109866.92,2024-25
9209,Special Education,608246.02,2024-25
9209,Transportation,317757.83,2024-25
9209,Vocational/CTE,364636.14,2024-25
10003,Basic Education,637732.53,2024-25
10003,Compensatory Education,313017.12,2024-25
10003,Districtwide Support,423445.45,2024-25
10003,Food Services,83186.16,2024-25
10003,Other Instructional,14991.99,2024-25
10003,Special Education,76867.3,2024-25
10003,Transportation,250092.81,2024-25
10050,Basic Education,2810829.04,2024-25
10050,Compensatory Education,444158.21,2024-25
10050,Districtwide Support,1448944.41,2024-25
10050,Food Services,253848.37,2024-25
10050,Special Education,470347.93,2024-25
10050,Transportation,273496.42,2024-25
10065,Basic Education,449684.35,2024-25
10065,Compensatory Education,159141.72,2024-25
10065,Districtwide Support,299612.11,2024-25
10065,Food Services,83186.14,2024-25
10065,Other Instructional,1832.95,2024-25
10065,Special Education,90467.92,2024-25
10065,Transportation,308052.83,2024-25
10070,Basic Education,3408022.76,2024-25
10070,Compensatory Education,524673.32,2024-25
10070,Districtwide Support,2387377.86,2024-25
10070,Food Services,289546.52,2024-25
10070,Other Instructional,158178.07,2024-25
10070,Special Education,592039.28,2024-25
10070,Vocational/CTE,110699.42,2024-25
10309,Basic Education,4753135.97,2024-25
10309,Compensatory Education,734115.12,2024-25
10309,Districtwide Support,3216521.32,2024-25
10309,Food Services,425088.45,2024-25
10309,Other Instructional,60541.0,2024-25
10309,Special Education,991422.7,2024-25
10309,Transportation,808567.34,2024-25
10309,Vocational/CTE,159899.36,2024-25
11001,Basic Education,175360438.3,2024-25
11001,COVID Relief,88766.96,2024-25
11001,Community Services,324406.2,2024-25
11001,Compensatory Education,26397495.22,2024-25
11001,Districtwide Support,35679178.49,2024-25
11001,Food Services,13339163.7,2024-25
11001,Other Instructional,14618326.01,2024-25
11001,Special Education,43321881.07,2024-25
11001,Transportation,11720960.71,2024-25
11001,Vocational/CTE,14229849.25,2024-25
11051,Basic Education,18233271.55,2024-25
11051,Community Services,4791.2,2024-25
11051,Compensatory Education,2970266.71,2024-25
11051,Districtwide Support,5032762.99,2024-25
11051,Food Services,1507927.16,2024-25
11051,Other Instructional,1334585.56,2024-25
11051,Special Education,4667023.11,2024-25
11051,Transportation,1915328.54,2024-25
11051,Vocational/CTE,1394300.2,2024-25
11054,Basic Education,254997.0,2024-25
11054,COVID Relief,26997.51,2024-25
11054,Compensatory Education,6077.68,2024-25
11054,Districtwide Support,133957.49,2024-25
11054,Special Education,40823.53,2024-25
11054,Transportation,153789.86,2024-25
11056,Basic Education,1431869.02,2024-25
11056,Community Services,29476.92,2024-25
11056,Compensatory Education,166026.96,2024-25
11056,Districtwide Support,710324.89,2024-25
11056,Food Services,141181.18,2024-25
11056,Special Education,136672.93,2024-25
11056,Transportation,81855.58,2024-25
11056,Vocational/CTE,257843.13,2024-25
12110,Basic Education,3239564.27,2024-25
12110,Compensatory Education,421394.0,2024-25
12110,Districtwide Support,1580356.41,2024-25
12110,Food Services,391022.34,2024-25
12110,Other Instructional,14539.61,2024-25
12110,Special Education,757247.85,2024-25
12110,Transportation,599877.39,2024-25
12110,Vocational/CTE,491745.22,2024-25
13073,Basic Education,20296665.13,2024-25
13073,Community Services,1784017.61,2024-25
13073,Compensatory Education,5961256.88,2024-25
13073,Districtwide Support,6409863.91,2024-25
13073,Food Services,2032643.42,2024-25
13073,Other Instructional,3153305.93,2024-25
13073,Special Education,5471558.7,2024-25
13073,Transportation,1585016.17,2024-25
13073,Vocational/CTE,2496170.38,2024-25
13144,Basic Education,30196353.78,2024-25
13144,Compensatory Education,4875116.61,2024-25
13144,Districtwide Support,8393006.45,2024-25
13144,Food Services,2366938.63,2024-25
13144,Other Instructional,2488004.92,2024-25
13144,Special Education,6488760.99,2024-25
13144,Transportation,1868601.08,2024-25
13144,Vocational/CTE,3018146.77,2024-25
13146,Basic Education,8216871.23,2024-25
13146,Compensatory Education,1689791.41,2024-25
13146,Districtwide Support,2802473.69,2024-25
13146,Food Services,678476.99,2024-25
13146,Other Instructional,509999.27,2024-25
13146,Special Education,2087853.78,2024-25
13146,Transportation,547481.72,2024-25
13146,Vocational/CTE,683778.88,2024-25
13151,Basic Education,2387820.9,2024-25
13151,COVID Relief,54678.2,2024-25
13151,Community Services,12375.35,2024-25
13151,Compensatory Education,197748.81,2024-25
13151,Districtwide Support,834051.83,2024-25
13151,Food Services,192084.87,2024-25
13151,Other Instructional,6065.32,2024-25
13151,Special Education,341704.0,2024-25
13151,Transportation,392325.3,2024-25
13151,Vocational/CTE,186304.47,2024-25
13156,Basic Education,4608000.92,2024-25
13156,Community Services,68446.85,2024-25
13156,Compensatory Education,1217958.47,2024-25
13156,Districtwide Support,1985405.77,2024-25
13156,Food Services,504249.09,2024-25
13156,Other Instructional,301224.69,2024-25
13156,Special Education,1432895.07,2024-25
13156,Transportation,417910.74,2024-25
13156,Vocational/CTE,324009.54,2024-25
13160,Basic Education,15374497.66,2024-25
13160,COVID Relief,51162.57,2024-25
13160,Compensatory Education,2441640.0,2024-25
13160,Districtwide Support,4541939.44,2024-25
13160,Food Services,1091779.4,2024-25
13160,Other Instructional,1615349.72,2024-25
13160,Special Education,2981890.01,2024-25
13160,Transportation,1221535.14,2024-25
13160,Vocational/CTE,1356091.69,2024-25
13161,Basic Education,60545511.73,2024-25
13161,Community Services,1437870.51,2024-25
13161,Compensatory Education,11205083.84,2024-25
13161,Districtwide Support,14950811.17,2024-25
13161,Food Services,5101892.79,2024-25
13161,Other Instructional,2425307.5,2024-25
13161,Special Education,18949235.67,2024-25
13161,Transportation,5494266.39,2024-25
13161,Vocational/CTE,8591374.16,2024-25
13165,Basic Education,24220164.97,2024-25
13165,COVID Relief,4360.04,2024-25
13165,Community Services,941299.41,2024-25
13165,Compensatory Education,3103678.88,2024-25
13165,Districtwide Support,7344601.03,2024-25
13165,Food Services,2136673.31,2024-25
13165,Other Instructional,955161.68,2024-25
13165,Special Education,5059551.66,2024-25
13165,Transportation,2161817.84,2024-25
13165,Vocational/CTE,2695219.01,2024-25
13167,Basic Education,1587595.05,2024-25
13167,Compensatory Education,267512.82,2024-25
13167,Districtwide Support,840381.56,2024-25
13167,Food Services,136970.78,2024-25
13167,Special Education,263737.24,2024-25
13167,Transportation,250632.76,2024-25
13167,Vocational/CTE,248114.75,2024-25
13301,Basic Education,6971529.91,2024-25
13301,COVID Relief,2871.29,2024-25
13301,Compensatory Education,1160183.21,2024-25
13301,Districtwide Support,2594437.16,2024-25
13301,Food Services,460408.64,2024-25
13301,Other Instructional,213830.31,2024-25
13301,Special Education,1499658.68,2024-25
13301,Transportation,543634.19,2024-25
13301,Vocational/CTE,497466.04,2024-25
14005,Basic Education,25266109.85,2024-25
14005,Community Services,2315041.34,2024-25
14005,Compensatory Education,5941538.97,2024-25
14005,Districtwide Support,8494542.7,2024-25
14005,Food Services,3039974.52,2024-25
14005,Other Instructional,1781550.6,2024-25
14005,Special Education,9895700.6,2024-25
14005,Transportation,1655950.79,2024-25
14005,Vocational/CTE,4313779.99,2024-25
14028,Basic Education,14509400.88,2024-25
14028,Community Services,714203.98,2024-25
14028,Compensatory Education,2752096.56,2024-25
14028,Districtwide Support,5199163.04,2024-25
14028,Food Services,1260006.74,2024-25
14028,Other Instructional,301226.28,2024-25
14028,Special Education,4561731.92,2024-25
14028,Transportation,1350224.73,2024-25
14028,Vocational/CTE,1355211.19,2024-25
14064,Basic Education,6123625.14,2024-25
14064,Community Services,420319.33,2024-25
14064,Compensatory Education,1010196.63,2024-25
14064,Districtwide Support,2198722.48,2024-25
14064,Food Services,509712.67,2024-25
14064,Other Instructional,184338.23,2024-25
14064,Special Education,1925400.15,2024-25
14064,Transportation,781931.52,2024-25
14064,Vocational/CTE,362555.53,2024-25
14065,Basic Education,3259254.46,2024-25
14065,Community Services,182304.18,2024-25
14065,Compensatory Education,461258.39,2024-25
14065,Districtwide Support,1161767.29,2024-25
14065,Food Services,273537.25,2024-25
14065,Other Instructional,52441.16,2024-25
14065,Special Education,959799.92,2024-25
14065,Transportation,301938.59,2024-25
14066,Basic Education,14070804.76,2024-25
14066,Community Services,54864.59,2024-25
14066,Compensatory Education,905363.7,2024-25
14066,Districtwide Support,3028369.78,2024-25
14066,Food Services,758484.67,2024-25
14066,Other Instructional,351948.87,2024-25
14066,Special Education,3592391.55,2024-25
14066,Transportation,591458.62,2024-25
14066,Vocational/CTE,1675192.44,2024-25
14068,Basic Education,12623142.92,2024-25
14068,Community Services,422159.73,2024-25
14068,Compensatory Education,2390139.28,2024-25
14068,Districtwide Support,4153807.91,2024-25
14068,Food Services,1095171.42,2024-25
14068,Other Instructional,472892.8,2024-25
14068,Special Education,3839996.6,2024-25
14068,Transportation,1405509.54,2024-25
14068,Vocational/CTE,3653875.3,2024-25
14077,Basic Education,3147875.49,2024-25
14077,Compensatory Education,535823.43,2024-25
14077,Districtwide Support,1922374.72,2024-25
14077,Food Services,266652.41,2024-25
14077,Other Instructional,60868.2,2024-25
14077,Special Education,507588.9,2024-25
14077,Transportation,115613.29,2024-25
14077,Vocational/CTE,152842.7,2024-25
14097,Basic Education,2421101.76,2024-25
14097,Community Services,290256.14,2024-25
14097,Compensatory Education,391583.85,2024-25
14097,Districtwide Support,959329.11,2024-25
14097,Food Services,356285.85,2024-25
14097,Other Instructional,148410.14,2024-25
14097,Special Education,618562.86,2024-25
14097,Transportation,246162.32,2024-25
14097,Vocational/CTE,98800.03,2024-25
14099,Basic Education,2040163.55,2024-25
14099,Compensatory Education,211476.22,2024-25
14099,Districtwide Support,762812.13,2024-25
14099,Food Services,148017.59,2024-25
14099,Other Instructional,7866.5,2024-25
14099,Special Education,490750.11,2024-25
14099,Transportation,83565.97,2024-25
14104,Basic Education,549763.95,2024-25
14104,Compensatory Education,165744.17,2024-25
14104,Districtwide Support,321037.31,2024-25
14104,Food Services,66364.99,2024-25
14104,Special Education,242262.51,2024-25
14104,Transportation,2131.85,2024-25
14117,Basic Education,2318203.11,2024-25
14117,Compensatory Education,204565.66,2024-25
14117,Districtwide Support,905668.32,2024-25
14117,Food Services,204100.08,2024-25
14117,Special Education,329606.39,2024-25
14117,Transportation,131222.49,2024-25
14117,Vocational/CTE,308888.53,2024-25
14172,Basic Education,5799055.48,2024-25
14172,Community Services,104882.88,2024-25
14172,Compensatory Education,1150567.36,2024-25
14172,Districtwide Support,2187292.56,2024-25
14172,Food Services,668600.39,2024-25
14172,Other Instructional,170155.04,2024-25
14172,Special Education,1198316.12,2024-25
14172,Transportation,693954.72,2024-25
14172,Vocational/CTE,417568.6,2024-25
14400,Basic Education,3150601.93,2024-25
14400,Community Services,97086.55,2024-25
14400,Compensatory Education,993266.03,2024-25
14400,Districtwide Support,1604391.15,2024-25
14400,Food Services,388066.26,2024-25
14400,Other Instructional,112158.35,2024-25
